,dew_point,mean_temp,slp,tempC,dewC,rh,specHum,hi
1981-01-01,26.60,33.30,1015.00,0.72,-3.00,76.12,0.00,0.72
1981-01-02,17.80,27.70,1020.00,-2.39,-7.89,66.02,0.00,-2.39
1981-01-03,13.30,25.20,1024.70,-3.78,-10.39,60.26,0.00,-3.78
1981-01-04,11.10,25.90,1027.40,-3.39,-11.61,53.15,0.00,-3.39
1981-01-05,11.30,26.10,1026.40,-3.28,-11.50,53.18,0.00,-3.28
1981-01-06,11.40,28.40,1025.70,-2.00,-11.44,48.59,0.00,-2.00
1981-01-07,13.80,32.20,1026.90,0.11,-10.11,46.24,0.00,0.11
1981-01-08,20.50,35.60,1024.20,2.00,-6.39,53.81,0.00,2.00
1981-01-09,25.00,36.70,1019.30,2.61,-3.89,62.21,0.00,2.61
1981-01-10,17.60,28.40,1017.70,-2.00,-8.00,63.60,0.00,-2.00
1981-01-11,21.20,31.10,1020.20,-0.50,-6.00,66.40,0.00,-0.50
1981-01-12,19.40,32.90,1021.50,0.50,-7.00,57.21,0.00,0.50
1981-01-13,13.30,27.50,1024.60,-2.50,-10.39,54.80,0.00,-2.50
1981-01-14,21.00,33.80,1022.50,1.00,-6.11,59.05,0.00,1.00
1981-01-15,18.40,29.70,1021.00,-1.28,-7.56,62.41,0.00,-1.28
1981-01-16,15.10,26.10,1026.80,-3.28,-9.39,62.78,0.00,-3.28
1981-01-17,18.10,29.70,1025.70,-1.28,-7.72,61.61,0.00,-1.28
1981-01-18,23.20,34.50,1023.50,1.39,-4.89,62.99,0.00,1.39
1981-01-19,17.90,31.70,1024.60,-0.17,-7.83,56.32,0.00,-0.17
1981-01-20,17.40,32.00,1025.30,0.00,-8.11,54.47,0.00,0.00
1981-01-21,7.50,29.10,1026.70,-1.61,-13.61,39.72,0.00,-1.61
1981-01-22,9.50,28.40,1031.10,-2.00,-12.50,44.68,0.00,-2.00
1981-01-23,29.50,36.90,1025.40,2.72,-1.39,74.28,0.00,2.72
1981-01-24,25.90,34.50,1022.80,1.39,-3.39,70.48,0.00,1.39
1981-01-25,9.00,30.00,1029.10,-1.11,-12.78,40.93,0.00,-1.11
1981-01-26,9.50,26.80,1030.80,-2.89,-12.50,47.72,0.00,-2.89
1981-01-27,6.80,29.50,1030.30,-1.39,-14.00,37.87,0.00,-1.39
1981-01-28,15.30,32.50,1026.70,0.28,-9.28,48.76,0.00,0.28
1981-01-29,18.00,32.70,1026.40,0.39,-7.78,54.33,0.00,0.39
1981-01-30,18.70,33.80,1026.60,1.00,-7.39,53.56,0.00,1.00
1981-01-31,23.40,33.80,1022.20,1.00,-4.78,65.32,0.00,1.00
1981-02-01,18.30,33.80,1022.40,1.00,-7.61,52.65,0.00,1.00
1981-02-02,16.70,36.50,1022.00,2.50,-8.50,44.14,0.00,2.50
