ID	YEAR	JD.JD	LAT	LON	GLAT	GLON	ROW	COL	DIST
9012.000	1979.000	72.500	-24.817	113.000	-24.750	113.250	130.000	586.000	26.345
9012.000	1979.000	72.625	-25.794	113.470	-25.750	113.250	128.000	586.000	22.592
9012.000	1979.000	72.750	-26.922	114.044	-26.750	114.250	126.000	588.000	28.023
9125.000	1980.000	10.000	-19.867	119.733	-19.750	119.750	140.000	599.000	13.146
9125.000	1980.000	10.250	-20.305	119.824	-20.250	119.750	139.000	599.000	9.859
9125.000	1980.000	10.500	-20.867	119.733	-20.750	119.750	138.000	599.000	13.144
9133.000	1980.000	32.000	-19.800	118.500	-20.250	118.750	139.000	597.000	56.507
9138.000	1980.000	48.250	-20.235	120.144	-20.250	120.250	139.000	600.000	11.196
9180.000	1980.000	223.250	26.100	-97.200	26.250	-97.250	232.000	165.000	17.429
9200.000	1980.000	262.000	21.850	121.100	21.750	120.750	223.000	601.000	37.850
9214.000	1980.000	309.750	16.029	121.629	16.250	121.750	212.000	603.000	27.797
9454.000	1982.000	287.500	17.460	122.260	17.250	122.250	214.000	604.000	23.401
9690.000	1984.000	309.750	11.176	125.768	11.250	125.750	202.000	611.000	8.469
9890.000	1986.000	190.000	17.920	122.040	17.750	122.250	215.000	604.000	29.212
9924.000	1986.000	262.000	23.180	121.580	23.250	121.250	226.000	602.000	34.649
9974.000	1987.000	56.250	-19.274	120.903	-19.250	121.250	141.000	602.000	36.563
9974.000	1987.000	56.375	-19.593	120.890	-19.750	120.750	140.000	601.000	22.821
9974.000	1987.000	56.625	-20.302	121.051	-20.250	121.250	139.000	602.000	21.571
10008.000	1987.000	224.000	12.400	125.500	12.250	125.250	204.000	610.000	31.907
10008.000	1987.000	224.250	12.601	124.324	12.750	124.250	205.000	608.000	18.431
10053.000	1987.000	329.500	13.080	124.460	12.750	124.250	205.000	608.000	43.228
10053.000	1987.000	329.750	13.300	122.674	13.250	122.750	206.000	605.000	9.939
10097.000	1988.000	199.750	18.261	122.666	18.250	122.250	216.000	604.000	43.995
10138.000	1988.000	258.625	20.700	-87.000	20.750	-86.750	221.000	186.000	26.617
10138.000	1988.000	258.750	20.900	-87.800	20.750	-87.750	221.000	184.000	17.490
10156.000	1988.000	296.417	11.900	-83.700	11.750	-83.750	203.000	192.000	17.564
10213.000	1989.000	112.750	-20.095	116.239	-20.250	115.750	139.000	591.000	53.931
10213.000	1989.000	112.875	-21.020	116.357	-21.250	116.250	137.000	592.000	27.910
10234.000	1989.000	196.750	17.939	122.555	17.750	122.250	215.000	604.000	38.564
10234.000	1989.000	197.000	18.140	121.300	18.250	121.250	216.000	602.000	13.338
10279.000	1989.000	261.500	18.200	-65.500	18.250	-65.250	216.000	229.000	27.013
10279.000	1989.000	265.167	32.800	-79.800	32.750	-79.750	245.000	200.000	7.272
10296.000	1989.000	292.000	16.600	122.980	16.750	122.250	213.000	604.000	79.617
10296.000	1989.000	292.250	16.645	121.392	16.750	121.250	213.000	602.000	19.128
10430.000	1990.000	316.750	10.425	124.850	10.250	124.750	200.000	609.000	22.348
10462.000	1991.000	119.750	21.950	91.550	21.750	91.750	223.000	543.000	30.376
10507.000	1991.000	270.250	32.425	129.250	32.750	129.250	245.000	618.000	36.179
10507.000	1991.000	270.292	32.854	129.659	32.750	129.750	245.000	619.000	14.371
10507.000	1991.000	270.375	33.880	130.603	33.750	130.750	247.000	621.000	19.856
10522.000	1991.000	300.500	18.000	122.075	18.250	122.250	216.000	604.000	33.426
10541.000	1991.000	341.750	-13.300	-172.600	-13.750	-172.750	152.000	14.000	52.659
10621.000	1992.000	237.375	25.500	-80.300	25.750	-80.250	231.000	199.000	28.279
10635.000	1992.000	256.000	21.500	-159.800	21.750	-159.750	223.000	40.000	28.307
10720.000	1993.000	176.750	16.900	122.575	16.750	122.250	213.000	604.000	38.446
10720.000	1993.000	177.000	17.275	121.150	17.250	121.250	214.000	602.000	10.989
10749.000	1993.000	246.250	30.900	130.300	30.750	130.250	241.000	620.000	17.369
10749.000	1993.000	246.375	31.814	131.042	31.750	131.250	243.000	622.000	20.932
10792.000	1994.000	13.500	-19.233	49.367	-19.250	49.250	141.000	458.000	12.442
10809.000	1994.000	82.000	-13.133	50.100	-13.250	50.250	153.000	460.000	20.831
10821.000	1994.000	122.500	20.657	92.057	20.750	92.250	221.000	544.000	22.607
10832.000	1994.000	191.500	23.325	121.450	23.250	121.250	226.000	602.000	22.089
10848.000	1994.000	219.750	24.700	122.175	24.750	121.750	229.000	603.000	43.333
10905.000	1994.000	352.250	-19.333	120.733	-19.750	120.750	140.000	601.000	46.454
10905.000	1994.000	352.375	-19.918	121.123	-19.750	121.250	140.000	602.000	22.948
10917.000	1995.000	55.625	-21.505	115.362	-21.750	115.250	136.000	590.000	29.634
10984.000	1995.000	277.917	30.300	-87.100	30.250	-87.250	240.000	185.000	15.457
10994.000	1995.000	306.750	14.125	123.175	13.750	123.250	207.000	606.000	42.524
10994.000	1995.000	307.000	14.250	121.850	14.250	121.750	208.000	603.000	10.789
11025.000	1996.000	58.000	-20.700	48.567	-20.750	48.750	138.000	457.000	19.850
11025.000	1996.000	58.250	-20.900	48.400	-20.750	48.250	138.000	456.000	22.856
11031.000	1996.000	71.792	-19.956	119.667	-19.750	119.750	140.000	599.000	24.523
11031.000	1996.000	71.917	-20.322	119.527	-20.250	119.750	139.000	599.000	24.625
11031.000	1996.000	72.042	-20.722	119.452	-20.750	119.250	138.000	598.000	21.260
11037.000	1996.000	87.000	-20.600	165.150	-20.750	165.250	138.000	690.000	19.680
11037.000	1996.000	87.250	-21.900	165.800	-21.750	165.750	136.000	691.000	17.479
11041.000	1996.000	101.417	-20.562	115.601	-20.750	115.750	138.000	591.000	26.055
11041.000	1996.000	101.542	-21.377	116.115	-21.250	116.250	137.000	592.000	19.897
11041.000	1996.000	101.667	-22.245	116.682	-22.250	116.750	135.000	593.000	7.028
11065.000	1996.000	213.500	24.825	122.550	24.750	121.750	229.000	603.000	81.281
11205.000	1997.000	217.125	22.000	88.000	22.250	87.750	224.000	535.000	37.936
11239.000	1997.000	292.750	18.025	122.325	18.250	122.250	216.000	604.000	26.273
11342.000	1998.000	287.000	17.000	122.725	17.250	122.250	214.000	604.000	57.689
11342.000	1998.000	287.250	17.425	121.800	17.250	121.750	214.000	603.000	20.192
11342.000	1998.000	287.500	17.825	121.400	17.750	121.250	215.000	602.000	17.958
11342.000	1998.000	287.750	18.550	121.150	18.750	121.250	217.000	602.000	24.636
11346.000	1998.000	294.500	13.675	124.275	13.750	124.250	207.000	608.000	8.776
11394.000	1999.000	81.167	-22.447	114.270	-22.250	114.250	135.000	588.000	22.026
11394.000	1999.000	81.208	-22.719	114.329	-22.750	114.250	134.000	588.000	8.815
11394.000	1999.000	81.292	-23.248	114.379	-23.250	114.250	133.000	588.000	13.196
11394.000	1999.000	81.333	-23.505	114.470	-23.750	114.250	132.000	588.000	35.317
11394.000	1999.000	81.375	-23.817	114.573	-23.750	114.750	132.000	589.000	19.512
11394.000	1999.000	81.417	-24.131	114.737	-24.250	114.750	131.000	589.000	13.313
11452.000	1999.000	266.792	32.239	129.946	32.250	130.250	244.000	620.000	28.648
11463.000	1999.000	302.125	19.854	86.592	19.750	86.250	219.000	532.000	37.645
11463.000	1999.000	302.250	20.250	86.150	20.250	86.250	220.000	532.000	10.444
11473.000	1999.000	348.917	-20.607	117.484	-20.750	117.250	138.000	594.000	29.109
11484.000	2000.000	48.750	-19.567	48.500	-19.750	48.250	140.000	456.000	33.194
11484.000	2000.000	53.250	-20.600	34.967	-20.750	34.750	138.000	429.000	28.100
11496.000	2000.000	93.750	-15.050	50.450	-15.250	50.250	149.000	460.000	30.944
11504.000	2000.000	110.667	-18.234	121.981	-18.250	121.750	143.000	603.000	24.487
11504.000	2000.000	110.792	-18.494	122.489	-18.250	122.250	143.000	604.000	37.085
11541.000	2000.000	235.500	22.475	121.975	22.750	121.250	225.000	602.000	80.546
11541.000	2000.000	235.625	23.078	121.218	23.250	121.250	226.000	602.000	19.425
11585.000	2000.000	343.542	-18.876	121.565	-18.750	121.750	142.000	603.000	24.016
11585.000	2000.000	343.667	-19.106	121.661	-19.250	121.750	141.000	603.000	18.561
11708.000	2002.000	36.792	-19.874	120.070	-19.750	120.250	140.000	600.000	23.365
11708.000	2002.000	36.917	-20.207	119.937	-20.250	119.750	139.000	599.000	20.111
11708.000	2002.000	37.042	-20.539	119.761	-20.750	119.750	138.000	599.000	23.516
11714.000	2002.000	69.250	-15.400	50.500	-15.250	50.250	149.000	460.000	31.610
11768.000	2002.000	265.750	21.600	-88.900	21.250	-88.750	222.000	182.000	41.948
11768.000	2002.000	265.875	21.300	-89.300	21.250	-89.250	222.000	181.000	7.608
11819.000	2003.000	72.750	-21.100	164.300	-20.750	164.250	138.000	688.000	39.307
11819.000	2003.000	73.000	-22.100	166.200	-22.250	166.250	135.000	692.000	17.475
11871.000	2003.000	255.375	33.827	127.589	34.250	127.750	248.000	615.000	49.375
11917.000	2004.000	56.750	-16.350	167.800	-16.250	167.750	147.000	695.000	12.347
